comment_score,Negative,Positive
40,0.926701571,0.560209424
366,0.857142857,0.857142857
259,1,0.2
251,1,0.571428571
204,1,0.333333333
707,1,1
666,1,0
1503,1,1
285,1,0.833333333
282,0.666666667,1
147,0.916666667,0.75
-138,1,0
2078,1,1
571,1,0.25
837,1,1
1634,1,0
183,1,1
522,1,0
527,1,1
1032,1,0
240,0.5,0.5
396,1,0.5
263,1,0.666666667
1017,1,1
2048,1,0
16,0.929266136,0.552608311
64,0.946666667,0.573333333
1442,1,0
-66,0.833333333,0.833333333
1022,1,0
-184,0,0
-191,1,0
-29,0.875,0.8
281,1,0.428571429
698,1,0
336,1,0.333333333
612,1,1
91,0.966101695,0.508474576
317,1,0.5
152,0.941176471,0.529411765
267,1,0.5
357,0.666666667,0
584,1,0.5
667,1,0.333333333
416,1,0
3220,1,0
-100,1,1
835,1,0
-1,0.885228193,0.614906832
398,1,0
956,1,1
261,1,0.833333333
1652,1,1
808,1,1
-80,1,0.8
1288,1,1
-76,0.666666667,1
2246,1,0
625,1,1
489,1,0
-67,1,0
53,0.906542056,0.551401869
47,0.937888199,0.577639752
45,0.953216374,0.578947368
619,1,1
394,1,1
148,1,0.384615385
1159,1,1
531,1,1
169,0.944444444,0.555555556
786,1,1
-5,0.892430279,0.616201859
273,0.875,0.5
24,0.943327239,0.542961609
1147,1,0
340,1,0
458,1,1
1214,1,0
-52,0.833333333,0.666666667
469,0,0.5
1843,1,1
211,1,0
